adversary/cache_size,time/iterations,time/fps,time/total_timesteps,adversary/critique_text,time/time_elapsed,adversary/applied_penalty,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl
12,12,118,526336,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",207,0.9,0.2,0.013465473428368568,0.8395486,2560,-0.5083948716521263,0.12177734375,-0.0054517599754035475,0.05543227444868535,0.0003,0.014108304
13,13,119,528384,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",223,0.5,0.2,0.04160492122173309,0.8918551,2570,-0.5373444818891585,0.127490234375,-0.003976247683749534,0.06617403210839257,0.0003,0.015221665
13,14,126,530432,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",226,0.5,0.2,0.07048223167657852,0.92575663,2580,-0.5649352626875043,0.1728515625,-0.012142326100729406,0.06075387413147837,0.0003,0.03789439
13,15,134,532480,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",228,0.9,0.2,0.017558608204126358,0.8824495,2590,-0.5983439926989377,0.132275390625,-0.005896945713902824,0.05679549569031224,0.0003,0.015265303
13,16,141,534528,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",231,0.9,0.2,-0.0718429759144783,-0.29326963,2600,-0.4807538270018995,0.37392578125,-0.026070004550274462,0.05668110137339681,0.0003,0.06675926
13,17,148,536576,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",234,0.9,0.2,0.035834070295095444,0.3822719,2610,-0.5399336321279407,0.137451171875,-0.004914560978068039,0.06735432676505297,0.0003,0.022671
13,18,155,538624,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",236,0.5,0.2,0.01976083777844906,0.77405304,2620,-0.6565872827544809,0.16572265625,-0.006852472011814825,0.05663664073799737,0.0003,0.012901502
13,19,162,540672,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",239,0.9,0.2,0.004445940256118774,0.8822007,2630,-0.5667880809865892,0.1140625,-0.00853995767829474,0.06255716306623071,0.0003,0.016105022
13,20,169,542720,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",242,0.9,0.2,-0.009831372648477554,0.89247334,2640,-0.6368176374584437,0.1453125,-0.0061050125354086045,0.06825636053690687,0.0003,0.019299809
13,21,175,544768,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",244,0.9,0.2,0.00424821674823761,0.80499977,2650,-0.5604266177862882,0.133251953125,-0.007853016997250961,0.0705684207729064,0.0003,0.011424871
13,22,181,546816,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",247,0.9,0.2,0.016842085868120193,0.8957132,2660,-0.5643201742321253,0.127294921875,-0.005856519393273629,0.05738209595438093,0.0003,0.01663099
13,23,188,548864,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",250,0.9,0.2,0.006888937205076218,0.84952843,2670,-0.5836489938199521,0.1220703125,-0.006778490836586571,0.06773378860671073,0.0003,0.01567194
14,24,184,550912,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",265,0.9,0.2,0.009249020367860794,0.530332,2680,-0.5613548863679171,0.15986328125,-0.010246826833463275,0.06855411876458675,0.0003,0.023521587
19,25,151,552960,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",336,0.9,0.2,0.009509306401014328,0.83287406,2690,-0.8837308693677187,0.14521484375,-0.0041109768601018,0.05759849934838712,0.0003,0.014579835
19,26,156,555008,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",339,0.9,0.2,-0.017432432621717453,0.86157566,2700,-0.6776944363489747,0.17373046875,-0.00804364322393667,0.06278695217915811,0.0003,0.0149101885
19,27,161,557056,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",342,0.5,0.2,0.030652184039354324,0.06124431,2710,-0.8617292184382677,0.191552734375,-0.009045993891049875,0.07086211242713034,0.0003,0.031590924
19,28,166,559104,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",344,0.9,0.2,-0.02851794846355915,0.78648615,2720,-0.8441967975348235,0.153173828125,-0.006202883519290481,0.06248015845194459,0.0003,0.023167755
19,29,170,561152,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",347,0.9,0.2,-0.03870949149131775,0.86856264,2730,-0.7033673543483019,0.231103515625,-0.020507381585775874,0.06193200792185962,0.0003,0.02835913
19,30,175,563200,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",350,0.5,0.2,-0.0049007851630449295,0.60896945,2740,-0.7635730102658271,0.14482421875,-0.0048327862270525655,0.06639881915180013,0.0003,0.019151842
19,31,179,565248,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",352,0.9,0.2,0.02694028802216053,0.12716448,2750,-0.7649539779871702,0.173095703125,-0.009369755286024883,0.06236431758152321,0.0003,0.021189984
20,32,176,567296,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",371,0.5,0.2,0.015980128198862076,0.7908211,2760,-0.909542859904468,0.150341796875,-0.009564928787585813,0.06663971076486633,0.0003,0.013286933
20,33,180,569344,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",373,0.5,0.2,0.02059291861951351,0.52835613,2770,-0.7859211942180991,0.1712890625,-0.009891799735487438,0.06412595447618515,0.0003,0.017098397
20,34,185,571392,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",376,0.5,0.2,-0.006417006254196167,0.80727524,2780,-0.8686556840315461,0.16171875,-0.007692519428383093,0.055753602861659604,0.0003,0.0135294935
21,35,182,573440,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",392,0.5,0.2,0.06415858864784241,0.7099821,2790,-0.7376792607828975,0.153369140625,-0.007475574001728091,0.06114674817072228,0.0003,0.015917324
21,36,186,575488,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",394,0.9,0.2,0.005378704518079758,0.16819334,2800,-0.6968203825876117,0.21474609375,-0.017512289657315706,0.06836057568434625,0.0003,0.02920302
21,37,190,577536,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",397,0.9,0.2,0.022403579205274582,0.8461686,2810,-0.9310847098007798,0.157666015625,-0.007205966529727448,0.07177571604261175,0.0003,0.013710342
21,38,194,579584,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",400,0.9,0.2,0.012370403856039047,0.010411084,2820,-0.7679793128743768,0.14482421875,-0.005874099845823366,0.0678890242241323,0.0003,0.014020408
21,39,198,581632,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",402,0.5,0.2,-0.029230503365397453,0.11622566,2830,-0.6762804483994842,0.2490234375,-0.011880673465202562,0.05961327539407648,0.0003,0.040601645
21,40,201,583680,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",405,0.5,0.2,-0.01029982790350914,0.08748537,2840,-0.6965723408386111,0.1626953125,-0.010398491180967539,0.06034695701673627,0.0003,0.018628027
21,41,205,585728,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",408,0.9,0.2,0.0025056172162294388,0.80873984,2850,-0.7793235609307885,0.154248046875,-0.005940030356578063,0.0592462518485263,0.0003,0.02095287
21,42,209,587776,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",410,0.5,0.2,0.011291533708572388,0.82089674,2860,-0.7215258555486799,0.11845703125,-0.010546942838118412,0.05740551253547892,0.0003,0.022647846
21,43,212,589824,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it.",413,0.9,0.2,0.03739223629236221,0.74929655,2870,-0.720241903886199,0.1240234375,-0.008030460012378171,0.0684187650331296,0.0003,0.017607894
21,44,216,591872,"Severe: The agent's objective is the 'key', but it chose the 'done' action without making any progress towards it. This indicates a premature termination or abandonment of the current objective, which is not 'reasonable' given the unmet goal.",416,0.8,0.2,0.017527729272842407,0.7981881,2880,-0.8101655321195722,0.1412109375,-0.005676537145336624,0.05953589691780507,0.0003,0.017843906
21,45,220,593920,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",418,0.9,0.2,0.021604863926768303,0.66979325,2890,-0.8036775939166546,0.174072265625,-0.008555659679404925,0.06046236035181209,0.0003,0.030401785
21,46,223,595968,"Severe: The agent's objective is the 'key', but it 'moved_further' away from it. This indicates a significant deviation from the goal.",421,0.9,0.2,0.018018024042248726,0.6540625,2900,-0.7950206942856312,0.142822265625,-0.006172925146529451,0.0654805073980242,0.0003,0.012326537
21,47,226,598016,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",424,0.5,0.2,0.04229229688644409,0.84252954,2910,-0.8084438309073448,0.139892578125,-0.007545110696810298,0.057518706016708165,0.0003,0.013120482
21,48,230,600064,"Moderate: The agent's objective is the 'key', but it made 'no_change' in progress despite trying to 'move_forward', which likely means it walked into a wall.",426,0.5,0.2,0.02453862689435482,0.85249996,2920,-0.7459288893267513,0.12783203125,-0.006848715376690961,0.0642206301447004,0.0003,0.01139087
21,49,233,602112,"Moderate: The agent's objective is the 'key', but its 'turn_right' action resulted in 'no_change' in progress, indicating it might be wasting time oscillating or turning unnecessarily.",429,0.5,0.2,0.010024530813097954,0.7273605,2930,-0.9192408286035061,0.12001953125,-0.00536957506192266,0.05434409383451566,0.0003,0.012587657
